model,n_test,log_loss_bits,brier,roc_auc,pr_auc
M0 field+time,39210.0,0.26673513562445184,0.042957670817288886,0.5474962814316909,0.05057969615716978
M1 + size,39210.0,0.2625352466766046,0.042705007081125,0.6119266873821201,0.06753024376782343
M2 + context,39210.0,0.25877341106617024,0.04270097747449012,0.670949552047413,0.08238029427482511
M3 + name history,39210.0,0.25609957324935667,0.04253973217016018,0.6849604874622949,0.08661221064850227
