event,n_department_years,n_events,event_rate,spearman_rho,spearman_p,point_biserial_r,point_biserial_p,adjusted_odds_ratio_per_1sd_log_size,or_ci_low,or_ci_high,cluster_robust_p
any structural event,65979,2894,0.04386244107973749,-0.07584338217058556,9.179393534109954e-85,-0.07468394308358058,3.048725685590958e-82,0.6963149261162336,0.6498824895191948,0.746064841185316,8.68892516506279e-25
close,65979,2375,0.03599630185362009,-0.07922438913615272,2.439095152022076e-92,-0.07811771229678506,8.007790404121659e-90,0.6604982909939264,0.6169743921382754,0.7070925438152122,8.730739934208794e-33
merge,65979,424,0.006426287151972597,-0.020483542996772647,1.4254906179820552e-07,-0.019490798754255852,5.532487629620155e-07,0.7780250791085741,0.6768141473192482,0.8943711152012557,0.0004156035001319305
split/complex,65979,95,0.0014398520741448037,0.022755939187127882,5.0407085004564705e-09,0.021489029719064922,3.384480790433592e-08,1.6741407801941328,1.3871500688924026,2.0205076687534818,7.839405240063365e-08
rename among continuations,63085,3224,0.05110565110565111,-0.047665982206347386,4.594377659776983e-33,-0.045114944151295605,8.609764240258853e-30,0.8262377833563778,0.77368836496712,0.8823563925181587,1.2486045144160817e-08
