source,small,stable,large,absent
small,0.7196296996032496,0.1938409219724164,0.005101076894010958,0.08142830153032307
stable,0.019337110059764327,0.9263876762303126,0.01827448273061382,0.036000730979309226
large,0.0017178939548704614,0.09114123874083016,0.8883833224997678,0.018757544804531526
